EWMA_bus1_val,EWMA_bus1_valid,EWMA_longb_val,EWMA_longb_valid,EWMA_short_val,EWMA_short_valid
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,1,0,1,0,1
-3,1,0,1,0,1
0,1,-1,1,-1,1
-2,1,-7,1,-3,1
-5,1,-8,1,-4,1
-6,1,-8,1,-5,1
0,1,-8,1,-8,1
8,1,-7,1,-6,1
32,1,-6,1,-4,1
28,1,-3,1,5,1
9,1,-4,1,10,1
8,1,-6,1,8,1
-14,1,-6,1,8,1
-20,1,-9,1,2,1
0,1,-17,1,-5,1
15,1,-21,1,-6,1
19,1,-20,1,-3,1
-43,1,-19,1,1,1
1,1,-27,1,-11,1
12,1,-28,1,-9,1
-24,1,-27,1,-6,1
20,1,-31,1,-12,1
-40,1,-26,1,-4,1
-54,1,-33,1,-13,1
5,1,-42,1,-26,1
-12,1,-42,1,-20,1
11,1,-44,1,-18,1
7,1,-41,1,-13,1
-4,1,-42,1,-11,1
-54,1,-43,1,-10,1
0,1,-49,1,-23,1
-62,1,-49,1,-18,1
-52,1,-57,1,-31,1
-114,1,-63,1,-37,1
22,1,-71,1,-59,1
-20,1,-61,1,-40,1
6,1,-59,1,-35,1
64,1,-56,1,-26,1
54,1,-41,1,-5,1
93,1,-36,1,7,1
127,1,-24,1,26,1
73,1,-6,1,49,1
86,1,2,1,54,1
90,1,10,1,60,1
75,1,18,1,67,1
21,1,23,1,66,1
15,1,16,1,53,1
72,1,15,1,42,1
38,1,16,1,48,1
43,1,18,1,45,1
99,1,19,1,43,1
25,1,26,1,54,1
96,1,24,1,45,1
119,1,33,1,57,1
-7,1,42,1,71,1
-90,1,34,1,49,1
-145,1,16,1,13,1
-163,1,-5,1,-28,1
-142,1,-28,1,-62,1
-29,1,-46,1,-84,1
-36,1,-46,1,-71,1
41,1,-47,1,-63,1
0,1,-37,1,-38,1
-39,1,-35,1,-30,1
80,1,-40,1,-34,1
87,1,-25,1,-7,1
73,1,-18,1,15,1
60,1,-12,1,27,1
86,1,-7,1,33,1
-13,1,3,1,45,1
-25,1,-2,1,29,1
-74,1,-11,1,14,1
4,1,-24,1,-10,1
46,1,-21,1,-8,1
-124,1,-16,1,5,1
-161,1,-30,1,-28,1
-98,1,-49,1,-62,1
-57,1,-62,1,-73,1
-24,1,-64,1,-72,1
-177,1,-59,1,-60,1
-153,1,-79,1,-90,1
-47,1,-90,1,-108,1
9,1,-90,1,-93,1
181,1,-83,1,-70,1
4,1,-55,1,-9,1
85,1,-49,1,-8,1
59,1,-39,1,15,1
-88,1,-28,1,23,1
-159,1,-39,1,-7,1
-34,1,-55,1,-46,1
-69,1,-54,1,-45,1
117,1,-58,1,-54,1
-120,1,-42,1,-13,1
19,1,-57,1,-42,1
-84,1,-54,1,-29,1
-139,1,-60,1,-45,1
-206,1,-74,1,-71,1
-331,1,-96,1,-106,1
-111,1,-126,1,-164,1
-290,1,-126,1,-151,1
27,1,-149,1,-187,1
-84,1,-130,1,-135,1
-100,1,-130,1,-123,1
-380,1,-132,1,-118,1
75,1,-167,1,-185,1
-77,1,-138,1,-123,1
-141,1,-136,1,-113,1
-321,1,-137,1,-123,1
-134,1,-167,1,-174,1
-152,1,-164,1,-166,1
-75,1,-166,1,-164,1
-475,1,-157,1,-142,1
-470,1,-200,1,-227,1
-485,1,-234,1,-289,1
-228,1,-271,1,-341,1
-209,1,-267,1,-315,1
-12,1,-265,1,-290,1
-134,1,-240,1,-222,1
-13,1,-227,1,-202,1
126,1,-205,1,-157,1
4,1,-167,1,-89,1
55,1,-147,1,-68,1
-56,1,-127,1,-38,1
-204,1,-119,1,-44,1
26,1,-131,1,-84,1
35,1,-116,1,-57,1
0,1,-101,1,-37,1
38,1,-91,1,-30,1
14,1,-80,1,-15,1
184,1,-69,1,-9,1
164,1,-40,1,37,1
127,1,-15,1,68,1
84,1,1,1,82,1
-98,1,10,1,81,1
-53,1,-6,1,35,1
11,1,-14,1,10,1
-84,1,-13,1,8,1
-74,1,-25,1,-15,1
-293,1,-38,1,-31,1
-224,1,-72,1,-98,1
-7,1,-91,1,-131,1
107,1,-85,1,-101,1
56,1,-64,1,-52,1
41,1,-49,1,-25,1
147,1,-44,1,-11,1
155,1,-24,1,27,1
116,1,-2,1,56,1
223,1,7,1,71,1
350,1,27,1,106,1
335,1,64,1,165,1
399,1,97,1,206,1
456,1,133,1,252,1
476,1,169,1,303,1
494,1,206,1,344,1
295,1,236,1,381,1
-153,1,239,1,358,1
-26,1,183,1,228,1
273,1,150,1,164,1
136,1,160,1,191,1
293,1,157,1,175,1
235,1,169,1,202,1
-65,1,176,1,208,1
233,1,145,1,139,1
256,1,155,1,160,1
24,1,165,1,184,1
208,1,143,1,144,1
112,1,145,1,160,1
247,1,140,1,148,1
-173,1,149,1,172,1
-169,1,104,1,85,1
-138,1,69,1,20,1
301,1,38,1,-20,1
250,1,65,1,60,1
-598,1,87,1,107,1
-37,1,-5,1,-72,1
-142,1,-12,1,-64,1
-381,1,-32,1,-84,1
96,1,-76,1,-159,1
110,1,-58,1,-96,1
287,1,-43,1,-45,1
157,1,-7,1,35,1
451,1,12,1,63,1
130,1,63,1,157,1
193,1,65,1,149,1
145,1,80,1,159,1
12,1,88,1,153,1
144,1,78,1,117,1
664,1,81,1,123,1
-18,1,153,1,256,1
-214,1,130,1,187,1
0,1,85,1,84,1
-538,1,70,1,63,1
-815,1,-12,1,-90,1
-307,1,-116,1,-273,1
-289,1,-144,1,-284,1
-423,1,-163,1,-286,1
52,1,-200,1,-322,1
318,1,-169,1,-230,1
210,1,-115,1,-95,1
164,1,-79,1,-20,1
646,1,-50,1,26,1
-13,1,31,1,179,1
128,1,19,1,128,1
-217,1,30,1,128,1
14,1,-7,1,41,1
94,1,-6,1,33,1
462,1,4,1,47,1
-384,1,57,1,148,1
286,1,1,1,15,1
-262,1,35,1,80,1
252,1,-5,1,-6,1
-3,1,24,1,57,1
462,1,20,1,41,1
-244,1,71,1,145,1
202,1,25,1,47,1
-76,1,46,1,83,1
-207,1,25,1,41,1
-26,1,-5,1,-22,1
133,1,-11,1,-25,1
-206,1,2,1,12,1
-444,1,-26,1,-43,1
41,1,-84,1,-144,1
0,1,-72,1,-98,1
260,1,-63,1,-75,1
25,1,-24,1,8,1
-709,1,-18,1,12,1
-288,1,-110,1,-169,1
-382,1,-134,1,-201,1
-585,1,-167,1,-249,1
-630,1,-221,1,-336,1
-343,1,-275,1,-410,1
525,1,-288,1,-395,1
319,1,-187,1,-166,1
240,1,-129,1,-47,1
329,1,-89,1,24,1
-201,1,-43,1,100,1
517,1,-68,1,24,1
309,1,1,1,147,1
0,1,38,1,185,1
9,1,28,1,138,1
239,1,22,1,104,1
-152,1,43,1,137,1
-195,1,16,1,64,1
-251,1,-11,1,-1,1
-71,1,-46,1,-66,1
-100,1,-51,1,-69,1
0,1,-62,1,-79,1
558,1,-56,1,-60,1
44,1,20,1,94,1
226,1,19,1,80,1
0,1,42,1,116,1
-423,1,35,1,87,1
